cite	journal	year	times_cited	abstract	author_count	authors
Schieman, Scott, Alex Bierman & Christopher Ellison. 2010. 'Religious Involvement, Beliefs About God, and the Sense of Mattering Among Older Adults.' Journal for the Scientific Study of Religion. 49:3 517-535.	Journal for the Scientific Study of Religion	2010	8	Using data from a 2001-2002 sample of adults aged 65 and older living in the Washington, DC metropolitan area, we examine the associations among religious involvement (as measured by the frequency of attendance at religious services and praying), the belief in divine control, and the sense of mattering-a key component of the self-concept. We also assess the extent to which these patterns vary by gender, race, and education. Findings indicate indirect effects of religious attendance on mattering through divine control beliefs and the frequency of social contact. Praying increases mattering indirectly only through divine control beliefs. Moreover, divine control beliefs are more strongly associated with mattering among women, African Americans, and individuals with less education. We discuss the contribution of these findings for theory about the links between religious involvement, beliefs about God, and psychosocial resources, and the influence of core dimensions of social status and stratification.	3	Scott Schieman; Alex Bierman; Christopher G. Ellison
Ayers, John, C. Hofstetter, Veronica Irvin, Yoonju Song, Hae-Ryun Park, Hee-Yong Paik & Melbourne Hovell. 2010. 'Can Religion Help Prevent Obesity? Religious Messages and the Prevalence of Being Overweight or Obese Among Korean Women in California.' Journal for the Scientific Study of Religion. 49:3 536-549.	Journal for the Scientific Study of Religion	2010	4	This research examines the influence of messages from religious leaders and congregants on whether Korean women are overweight or obese. Data were drawn from telephone interviews with a probability sample (N = 591) of women of Korean descent living in California. Overweight or obese prevalence was measured using World Health Organization standards for Asians (BMI > 23). Respondents reported the frequency of messages discouraging ``excessive eating'' or encouraging ``exercise'' from religious leaders and congregants during a typical month. When conditioned on leaders' messages, the frequency of congregants' messages was associated with a significantly lower probability of being overweight or obese, although messages from either in the absence of the other were unassociated with being overweight or obese. At least for Korean women, religion may help prevent obesity via religious-based social mechanisms.	7	John W. Ayers; C. Richard Hofstetter; Veronica L. Irvin; Yoonju Song; Hae-Ryun Park; Hee-Yong Paik; Melbourne F. Hovell
Childs, Ellen. 2010. 'Religious Attendance and Happiness: Examining Gaps in the Current Literature-a Research Note.' Journal for the Scientific Study of Religion. 49:3 550-560.	Journal for the Scientific Study of Religion	2010	2	Two major gaps exist in research examining the positive association between religious attendance and happiness. First, scholars have argued that this association may be because of people's perceived relationship with God or the social cohesion one experiences with other parishioners, but scholars have not studied both pathways simultaneously. Using nationally representative cross-sectional data (General Social Survey), I first examine the influence of one's perceived relationship with God and one's perceived social cohesion within the religious community on happiness. One's perceived relationship with God is more strongly associated with happiness than is social cohesion. Second, scholars overwhelmingly use religious attendance as the independent variable, with happiness as the dependent variable. Using two waves of data from a nationally representative panel study (National Survey of Families and Households), I then examine the relationship between religious attendance and happiness over time, finding that religious attendance has a greater effect on happiness than happiness has on religious attendance.	1	Ellen Childs
Vazsonyi, Alexander & Dusty Jenkins. 2010. 'Religiosity, Self-control, and Virginity Status in College Students From the ``bible Belt'': a Research Note.' Journal for the Scientific Study of Religion. 49:3 561-568.	Journal for the Scientific Study of Religion	2010	5	Using a sample of college students (N = 904) from the ``Bible Belt,'' this study examines the effect of religiosity and self-control on late adolescents' delay in initiating sexual intercourse or oral sex. Findings from logistic regressions provide evidence that for each one unit increase in self-control, the odds of a male remaining a virgin or of delaying oral sex increased by a factor of 1.82 and 2.84, respectively, while for females, the odds of not engaging in oral sex increased by a factor of 1.67. In addition to the effect of self-control, a one unit increase in religiosity results in the odds of a male remaining a virgin by a factor of 3.86 and 3.30, respectively. For females the odds are increased by a factor of 4.13 and 2.60, respectively. Mediation tests also provided evidence that self-control mediated the effects by religiosity on both dependent measures. Thus, both religiosity and self-control independently and additively function as key social control mechanisms that promote late adolescent health.	2	Alexander T. Vazsonyi; Dusty D. Jenkins
Schnittker, Jason. 2010. 'Gene-environment Correlations in the Stress-depression Relationship.' Journal of Health and Social Behavior. 51:3 229-243.	Journal of Health and Social Behavior	2010	1	A critical feature of the social stress model is the apparent relationship between stress and depression. Although many studies have demonstrated a connection between the two, the relationship may be contaminated by genes affecting both stress and depression. Using a sample of identical and fraternal twins, this study explores genetic influences on depression and assorted sources of stress while explicitly estimating, and thereby controlling for, gene-environment correlations. I consider both stress and depression in a fine-grained fashion. For the former, the study explores assorted sources of stress, including health and disability, family, unemployment, discrimination, and perceived neighborhood safety, as gene-environment correlations may be stronger for some forms of stress than others. For the latter, the study explores both depressive symptoms and major depressive disorders, as each may entail a different epidemiological process, especially with respect to genes. The results reveal that most, but not all, measures of stress have moderate heritabilities, suggesting that genes influence exposure to the environment in a broad fashion. Yet, despite this, the relationship between stress and depression is generally robust to gene-environment correlations. There are some notable exceptions. For example, allowing for gene-environment correlations, marital conflict is generally unrelated to depression. Moreover, gene-environment correlations are generally stronger for major depression than for depressive symptoms, encouraging further elaboration of the distinction between the onset of depression and its recurrence, especially in the context of genes. These exceptions do not put limits on environmental influence, but do suggest that genes operate in a complex life-course fashion.	1	Jason Schnittker
Van, Karen & Cesar Rebellon. 2010. 'a Life-course Perspective on the ``gateway Hypothesis''.' Journal of Health and Social Behavior. 51:3 244-259.	Journal of Health and Social Behavior	2010	5	Drawing on stress and life-course perspectives and using panel data from 1,286 south Florida young adults, we assess three critical questions regarding the role of marijuana in the ``gateway hypothesis.'' First, does teen marijuana use independently (causally) affect subsequent use of more dangerous substances? Second, if so, does that effect apply to the abuse of other illicit substances, as defined by the DSM-IV, or only to the use of such substances? Finally, does any causal effect of teen marijuana use survive beyond adolescence, or is it a short-term effect that subsides as adolescents transition to adulthood? Our results indicate a moderate relation between early teen marijuana use and young adult abuse of other illicit substances; however, this association fades from statistical significance with adjustments for stress and life-course variables. Likewise, our findings show that any causal influence of teen marijuana use on other illicit substance use is contingent upon employment status and is short-term, subsiding entirely by the age of 21. In light of these findings, we urge U. S. drug control policymakers to consider stress and life-course approaches in their pursuit of solutions to the ``drug problem.''	2	Karen Van; Cesar J. Rebellon
Pudrovska, Tetyana. 2010. 'What Makes You Stronger: Age and Cohort Differences in Personal Growth After Cancer.' Journal of Health and Social Behavior. 51:3 260-273.	Journal of Health and Social Behavior	2010	0	Using two waves of the National Survey of Midlife Development in the United States, I compare changes in personal growth over a 10 year period among cancer survivors and individuals without cancer. Moreover, I examine joint effects of age and cohort on personal growth after a cancer diagnosis. The theoretical framework of this study integrates impairment, resilience, and thriving perspectives. Findings reveal that, although personal growth declines with age for all individuals regardless of cohort and cancer status, cancer slows the decline in personal growth with age in 1940s, 1950s, and 1960s birth cohorts, yet accelerates the age-related decline in the 1920s cohort. I argue that a sociological perspective can enhance our understanding of the interplay of developmental and sociocultural influences on psychological adjustment to cancer. Seemingly idiosyncratic psychological reactions to cancer partly reflect macrolevel processes represented by cohort differences.	1	Tetyana Pudrovska
Augustine, Jennifer & Robert Crosnoe. 2010. 'Mothers' Depression and Educational Attainment and Their Children's Academic Trajectories.' Journal of Health and Social Behavior. 51:3 274-290.	Journal of Health and Social Behavior	2010	9	In this study, we take a dynamic approach to studying the connections among mothers' education, their depression, and their children's academic trajectories during elementary school. Applying latent growth curve modeling to longitudinal data from the National Institute of Child Health and Human Development's Study of Early Child Care and Youth Development (N = 1,012), we find that maternal depression does not mediate the association between mothers' education and children's achievement. Instead, maternal education moderates the association between maternal depression and children's achievement. Specifically, maternal depression only predicted lower achievement for children of women who did not pursue higher education. These results highlight the role of mothers' mental health in the intergenerational linkage between mothers' and children's educational experiences.	2	Jennifer March Augustine; Robert Crosnoe
Vartanian, Thomas & Linda Houser. 2010. 'the Effects of Childhood Neighborhood Conditions on Self-reports of Adult Health.' Journal of Health and Social Behavior. 51:3 291-306.	Journal of Health and Social Behavior	2010	3	Studies have shown that neighborhood conditions and experiences may individually or collectively impact health. Using 38 years of longitudinal data from the Panel Study of Income Dynamics ( PSID), we clarify the relationship between child and adult neighborhood quality and self-reported adult health, using sibling fixed effects models. Overall, we find support for positive long-term health effects, both for growing up in affluent neighborhoods and for growing up in neighborhoods where one is surrounded by comparative advantage. Relative to childhood neighborhood factors, adult neighborhoods have little to no effect in almost every model specification. We find mixed evidence, as well, that these relationships are stronger for nonwhites than for whites. Our findings suggest that childhood is a critical point for intervention in the long-term health effects of residential conditions.	2	Thomas P. Vartanian; Linda Houser
Maimon, David, Christopher Browning & Jeanne Brooks-Gunn. 2010. 'Collective Efficacy, Family Attachment, and Urban Adolescent Suicide Attempts.' Journal of Health and Social Behavior. 51:3 307-324.	Journal of Health and Social Behavior	2010	16	The suicide rate among American adolescents between the ages of 14-25 has dramatically increased during the last 50 years, and this fact has been the focus of extensive social-scientific investigation. To date, however, research focusing on the joint effects of mental health, family, and contextual-level predictors on adolescents' suicidal behaviors is scarce. Drawing on Durkheim's classic macro-level approach to suicide and collective efficacy theory, we use data from the Project on Human Development in Chicago Neighborhoods (PHDCN) to examine the effect of informal social controls on adolescents' suicide attempts. Analyzing reports from 990 youth, we examine the hypothesis that neighborhood-level collective efficacy and family-level integration and social control independently affect suicide attempts. We also examine the extent to which they interact in their effects on suicidal behavior. Overall, results from multilevel logit models support the Durkheimian expectation that family attachment reduces the probability that adolescents will attempt suicide. The effect of collective efficacy is interactive in nature. Specifically, we find that collective efficacy significantly enhances the protective effect of family attachment and support on adolescent suicidal behaviors. We discuss findings within the context of social control theory.	3	David Maimon; Christopher R. Browning; Jeanne Brooks-Gunn
Scheitle, Christopher & Amy Adamczyk. 2010. 'High-cost Religion, Religious Switching, and Health.' Journal of Health and Social Behavior. 51:3 325-342.	Journal of Health and Social Behavior	2010	2	Previous research has devoted significant attention to understanding the link between health and personal religious beliefs and practices, typically finding that more religious people tend to have better health. However, almost no attention has been given to how switching religious groups or leaving religion altogether is related to self-reported health. Due to selection and causation mechanisms, switching from high-cost groups that are theologically and culturally exclusive could be associated with poor health more than switching from other religious groups. Using data from the 1972 through 2006 General Social Surveys, we examine the relationship between health and religious switching as moderated by the religious tradition of origin. We find that people who are raised and stay in high-cost sectarian groups, such as the Latter-day Saints and Jehovah's Witnesses, have better self-reported health than those raised and staying in other religious traditions. However, people who leave such groups are more likely to report worse health than those who leave other groups.	2	Christopher P. Scheitle; Amy Adamczyk
Sternthal, Michelle, David Williams, Marc Musick & Anna Buck. 2010. 'Depression, Anxiety, and Religious Life: a Search for Mediators.' Journal of Health and Social Behavior. 51:3 343-359.	Journal of Health and Social Behavior	2010	10	We examine several potential mechanisms linking religious involvement to depressive symptoms, major depression, and anxiety. Logistic and OLS regression estimations test five sets of potential psychosocial religion mediators: perceived attitudes toward and motivations for attendance; positive and negative religious coping; religious attitudes, beliefs, and spirituality; congregational support and criticism; and interpersonal and self-forgiveness. Compared to attending services less than once a month or never, attending services once a week but no more is associated with fewer depressive symptoms and anxiety symptoms. Hypothesized mediators, including meaning, interpersonal and self-forgiveness, congregational criticism, social attendance beliefs, and negative coping are independently associated with one or more mental health outcomes.	4	Michelle J. Sternthal; David R. Williams; Marc A. Musick; Anna C. Buck
Zald, Mayer. 2010. 'John D. Mccarthy Lifetime Achievement Award.' Mobilization. 15:3 249-266.	Mobilization	2010	0	Editors Note: In 2007, The Center for the Study of Social Movements at the University of Notre Dame began sponsorship of an annual award named for its first recipient, John McCarthy. The John D. McCarthy Award for Lifetime Achievement in the Scholarship of Social Movements and Collective Action has subsequently been presented to Verta Taylor (2008), Mayer Zald (2009), and Doug McAdam (2010). As part of each year's award ceremony, the McCarthy Award winner gives a public lecture that reflects on her or his past contributions to the field of social movement research, while also looking forward to prom-ising lines of future inquiry. The publication in Mobilization of these lectures highlights both the important role recipients have played in shaping the field of social movement research, as well as their unique perspectives on where the field is headed. To this end each award winner has generously collaborated with Mobilization in the publication of an article based on the original McCarthy Award lecture. We are pleased to share Mayer N. Zald's contribution in this issue. McCarthy Award lectures from other recipients will appear in future issues as they become available to us.	1	Mayer N. Zald
Moghadam, Valentine & Elham Gheytanchi. 2010. 'Political Opportunities and Strategic Choices: Comparing Feminist Campaigns in Morocco and Iran.' Mobilization. 15:3 267-288.	Mobilization	2010	3	How do women's rights activists mobilize in nondemocratic and culturally conservative contexts? Why do some women's movements succeed in securing the policy outcomes they seek while others fail to realize their objectives? Comparing two recent cases of feminist activism in the Middle East/North Africa region the Moroccan and Iranian campaigns for family law reform the article demonstrates the way that political opportunity structures shape the strategic options available to activists and influence movement frames. While a political opening is conducive to movement growth and success, including cooperation for legal and policy reform (Morocco), the closing of political space compels extrainstitutional feminist contention and transnational links (Iran). In examining the structure of political opportunity in addition to strategic choices, the paper addresses the interplay of structure and agency in mobilization processes and finds that-to paraphrase Marx-women and men make history, but not under conditions of their own choosing.	2	Valentine M. Moghadam; Elham Gheytanchi
Myers, Daniel. 2010. 'Violent Protest and Heterogeneous Diffusion Processes: the Spread of U.s. Racial Rioting From 1964 to 1971.' Mobilization. 15:3 289-321.	Mobilization	2010	1	This analysis of the diffusion of racial rioting in the United States applies recently developed extensions of event history analysis to the spread of rioting from 1969 to 1971. Contrary to early analyses of riot diffusion, the results demonstrate that diffusion is a critical force behind the pattern of rioting. The analysis identifies several types of diffusion in the riot cycle, demonstrating that contagious influence from riots decays over tune, is mitigated by geographic distance, and is conditional on riot severity. Methodologically, the analysis produces extensions of prior event-history diffusion models that facilitate their use with collective violence and protest data.	1	Daniel I. Myers
Opp, Karl-Dieter & Hermann Brandstaetter. 2010. 'Political Protest and Personality Traits: a Neglected Link.' Mobilization. 15:3 323-346.	Mobilization	2010	3	We examine the extent to which personality traits and variables based on the theory of collective action (i.e., incentives) can explain protest participation. We use the Big Five personality traits, measured by a list of bipolar adjectives: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Incentives are political discontent and perceived personal influence, perceived obligation to protest and social incentives (i.e., integration in protest encouraging social networks). We hypothesize that personality traits have an effect on incentives and, together with incentives, on protest behavior. We test our hypotheses with a two-wave panel study, conducted in Leipzig (East Germany), where a total of 438 pet-sons were interviewed in 1993 and 1996. Major findings are that personality traits have only weak effects on protest, compared to the variables of the theory of collective action, and that personality traits have various effects on the independent variables (i.e., the incentives) of the theory of collective action.	2	Karl-Dieter Opp; Hermann Brandstaetter
Van, Jeroen. 2010. 'Activists Online and Offline: the Internet as an Information Channel for Protest Demonstrations.' Mobilization. 15:3 347-366.	Mobilization	2010	4	Using individual-level data of protest participants in nine different protest demonstrations in Belgium, this article compares activists using the Internet and activists not using the Internet as an information channel about an upcoming demonstration. We find that ``online'' and ``offline'' activists differ significantly in terms of sociodemographic and political backgrounds, formal network and organizational embeddedness, and, to some extent, motivational aspects. The findings suggest that using digital communication channels likely extends and narrows the mobilizing potential to a public of experienced, organizationally embedded activists. The Internet is principally used by ``superactivists'' who are experienced and highly educated, and, who simultaneously combine multiple engagements. The article then discusses these results in light of two focal problems: that the Internet reinforces participation inequalities, and that the Internet might prove insufficient for sustained collective action participation and the maintenance of future social movement organizations.	1	Jeroen Van
Wooten, Melissa. 2010. 'Soliciting Elites: the Framing Activities of the United Negro College Fund.' Mobilization. 15:3 367+.	Mobilization	2010	0	Framing is widely recognized as an effective tool for resource mobilization, and much attention has been devoted to understanding the use of frames to mobilize participants. Less attention has been devoted to the use of frames to solicit wealth v donors despite knowledge that resource mobilization often includes this task as well. In this article, the case of the United Negro College Fund (UNCF) is used to analyze framing designed to elicit financial support from wealthy constituents. A frame analysis of the UNCF's mobilizing efforts between 1944 and 1954 is performed using qualitative data and methods. Findings indicate that soliciting support from wealthy constituents requires framing movement activity as though it will not lead to widespread change, even if logic or history suggest otherwise.	1	Melissa E. Wooten
Ollion, Etienne. 2010. 'Summits of Information: Advocacy Officers, Journalists, and Newsmaking at International Summits.' Qualitative Sociology. 33:3 211-227.	Qualitative Sociology	2010	0	In spite of the growing visibility of international summits in the last decade, little is known about how these events actually unfold. Neither the role played by the media in these highly scrutinized gatherings, nor the organizational setting in which news is produced, have been extensively described. Focusing on one such summit, this article shows what a close-up view of the otherwise-invisible Media Center can offer to sociological analysis. Year after year, these spaces have increasingly been colonized by certain NGOs attempting to influence the proceedings of these summits. This article highlights some overlooked factors that make some groups better able than others to promote their perspective, and lays bare a mechanism I call mediated pressure, by which journalists try to influence negotiators through the dissemination of their claims in the news.	1	Etienne Ollion
Rivera, Lauren. 2010. 'Status Distinctions in Interaction: Social Selection and Exclusion at an Elite Nightclub.' Qualitative Sociology. 33:3 229-255.	Qualitative Sociology	2010	3	Although social status plays a crucial role in the generation and maintenance of social inequalities, how status processes operate in naturalistic social contexts remains less clear. In the following article, I provide a case study of doormen-individuals who simultaneously represent status experts and status judges-at a highly exclusive nightclub to investigate how people draw status distinctions in micro-social settings. Using interview and ethnographic data, I analyze on what bases doormen evaluate the relative worth of patrons and confer the status prize of admission. I find that in making such decisions, doormen drew from a constellation of competence and esteem cues, which were informed by contextually specific status schemas about the relative material, moral, and symbolic worth of particular client groups. Moreover, the ways in which doormen used these cues and schema depended on the identity of the specific patron being evaluated. As such, I argue that processes of interpersonal evaluation and status conferral are contextually specific, culturally embedded, and interpersonally variable. Despite such variations, a patron's perceived social connections seemed to outweigh other types of cues in admissions decisions. I conclude by discussing these findings in light of both status characteristics theory and Bourdieu's work on the transubstantiation of capital to suggest that social capital is a powerful status cue that can, under certain conditions, be a more potent source of social distinction and status advantage, or hold a greater conversion value, in systems of stratification than other types of qualities.	1	Lauren A. Rivera
Torkelson, Jason. 2010. 'Life After (straightedge) Subculture.' Qualitative Sociology. 33:3 257-274.	Qualitative Sociology	2010	1	This paper uses 20 in-depth interviews with individuals who formerly identified as straightedge to explore a largely overlooked but potentially important dimension of youth subcultures: life after subculture. Interviews illustrate the potential importance of life after subculture for gaining a fuller understanding of subculture and indicate that residue from former subcultural affiliation can be a marker of a group's relative substance. Interviews additionally underscore problems with prevailing theoretical models of subculture and support the claim that approaches to and conceptions of subculture should attend to phenomenological levels of analysis and potentialities.	1	Jason Torkelson
Gazit, Nir & Yael Maoz-Shai. 2010. 'Studying-up and Studying-across: At-home Research of Governmental Violence Organizations.' Qualitative Sociology. 33:3 275-295.	Qualitative Sociology	2010	0	Studying the military and other security organizations is challenging for both methodological and ethical reasons. Studying these domains ``at home,'' literally in the researcher's own country, complicates things even further. This article discusses these intricacies by proposing a dynamic conceptualization of the subject-object relationship in the study of the military and security in Israel. This conceptualization illuminates the effects of the dynamic positioning of the researcher in four social fields: the academic, the military-security, gender, and the ethno-national. The actual influence of these fields and their interrelations changes throughout the phases of research. We argue that when researchers and their respondents have similar ethno-national affiliation and military experiences, the dichotomous relations between them break down and give way to a dense web of expectations. This brings the researcher to maneuver between two, ostensibly contradictory, research strategies: studying-up and studying-across. The paper unpacks the complexities encapsulated in these strategies by discussing methodological and ethical dilemmas in two field studies on the Israeli-Palestinian conflict conducted by the authors.	2	Nir Gazit; Yael Maoz-Shai
Kramer, Ronald. 2010. 'Moral Panics and Urban Growth Machines: Official Reactions to Graffiti in New York City, 1990-2005.' Qualitative Sociology. 33:3 297-311.	Qualitative Sociology	2010	2	This paper analyzes the official response to graffiti writing in New York City throughout the 1990s and into the 21st century. Drawing from a variety of documents, such as newspaper articles, political press releases, internal memos and government reports, I show that the city's reaction to graffiti constitutes a moral panic and that the significance of this response can be discerned when interpreted in the context of theoretical insights developed by urban sociologists. On this basis, I argue that moral panics, or at least a sub-set of panics, may be central to negotiating the social conflict that accompanies the ways in which (urban) space will be put to use.	1	Ronald Kramer
Newmahr, Staci. 2010. 'Rethinking Kink: Sadomasochism as Serious Leisure.' Qualitative Sociology. 33:3 313-331.	Qualitative Sociology	2010	5	Based on extensive ethnographic research in a public SM (sadomasochism) community, this paper frames SM as recreation. Drawing on Robert Stebbins' work on ``serious leisure'' (1982), I posit that in order to more adequately understand SM as it occurs in this community, we need to shift from mainstream assumptions of SM as (simply) ``kinky sex'' to a more nuanced perspective. I explore the unique skills required in order to engage in SM, as well as the benefits and rewards that participants derive from it, in order to illustrate that SM can be more usefully understood as serious leisure.	1	Staci Newmahr
Banks, Patricia. 2010. 'Conceptions of Art Ownership as a Form of Wealth Accumulation Among the Black Middle-class.' Qualitative Sociology. 33:3 333-348.	Qualitative Sociology	2010	0	While there is a rich sociological tradition of analyzing the consumption of middle-class blacks, theory and research have overwhelmingly conceptualized middle-class blacks as conspicuous consumers. This paper develops an alternative theoretical approach to black middle-class consumption. Using the case of art ownership, I elaborate how middle-class blacks understand consumption as a practice that maintains and reinforces their class position by building wealth. Drawing on 103 in-depth interviews with black middle-class consumers of visual art, I illustrate how middle-class blacks view art as an economic asset and consider investment potential when they purchase art. I also document how middle-class blacks view art as a source of wealth that can be transferred across generations. Theory which accounts for black middle-class consumption from the perspective of wealth building is critical given long-standing arguments that middle-class blacks are a group whose frivolous and status-driven consumption jeopardizes their accumulation of wealth. The theoretical approach outlined in this paper illustrates how middle-class blacks approach consumption with an eye to solidifying their economic position.	1	Patricia A. Banks
Dempsey, Nicholas. 2010. 'Stimulated Recall Interviews in Ethnography.' Qualitative Sociology. 33:3 349-367.	Qualitative Sociology	2010	0	This article describes the use of stimulated recall interviews as a technique for investigating how people approach interactions in a number of different situations. In general, the technique I describe involves interviewing individuals by playing them audio or audiovisual recordings of their own behavior in social situations and discussing different aspects of those recorded interactions. Doing so can help us to understand what signals interactants understand as important, what signals they try to convey to others, and how they choose from various options to act upon the information they receive in interactions. Using the example of jazz jam sessions, I ask why it is that interactions can sometimes go smoothly and uneventfully, or sometimes break down completely. The stimulated recall interviews provide a valuable tool in helping the ethnographer to answer these kinds of questions.	1	Nicholas P. Dempsey
Baiocchi, Gianpaolo & Lisa Corrado. 2010. 'the Politics of Habitus: Publics, Blackness, and Community Activism in Salvador, Brazil.' Qualitative Sociology. 33:3 369-388.	Qualitative Sociology	2010	1	This paper explores how politics is experienced by actors who mediate neighborhood organizations and formal political institutions in the Northeastern city of Salvador da Bahia, in Brazil. It is based on a series of ethnographic interviews in 2004 among identified community leaders in the city's poorer neighborhoods, with attention to their politics of habitus-their socially-situated modes of expression of political proclivities. While all of our informants identified themselves as Black and identified racial structures as shaping their lives, their understandings and evaluations of formal politics were divided. Those who only mediated between the neighborhood and formal institutions were critical of the world of politics and its polluting influence. Those who were also involved in mediating publics tended to experience formal politics as unjust but ultimately accessible through legitimate Black political action. This distinction helps account for the difficulty in mobilizing around a reformist political project and adds a local and political dimension to the understanding of race relations in Brazil.	2	Gianpaolo Baiocchi; Lisa Corrado
Brumley, Krista. 2010. 'Understanding Mexican Ngos: Goals, Strategies, and the Local Context.' Qualitative Sociology. 33:3 389-414.	Qualitative Sociology	2010	3	Research on non-governmental organizations (NGOs) largely focuses on the actions taken towards contributing to social change in communities and has characterized them into a typology of resisters or cooperators. Using extensive qualitative data, I use this case study to illustrate that NGOs use multiple repertoires of strategies that range from low to high risk. In this article, I show how and why NGO leaders in Monterrey, Mexico, choose their strategies based on their interpretation of the local sociopolitical environment and their assessment of how politically challenging a goal is within that context. By setting aside the dichotomy of NGOs as cooperators or resisters, I demonstrate the connection between strategies, goals, and the local sociopolitical context that is largely missing in our theorizing of NGOs (and other forms of collective action). These findings have implications for understanding how NGOs, as social actors, participate in an increasingly complex and interconnected global space.	1	Krista M. Brumley
Wuthnow, Robert. 2010. 'H. Paul Douglass Lecture: Heaven Is a Wonderful Place: the Role of Reasonableness in Religious Discourse.' Review of Religious Research. 52:1 5-20.	Review of Religious Research	2010	0	The United States is one of the best educated countries in the world, and yet a large proportion of the public claims to believe in the existence of heaven. To understand why there is relatively little apparent conflict between reason and faith about this topic, I examine the language devices subjects use in qualitative interviews to avoid appearing unreasonable when talking about heaven. I discuss references to religious authority and associated disclaimers, registers and register shifts, symbolic contrasts between heaven and earth, and expressions of ambivalence about who goes to heaven and how wonderful it may be.	1	Robert Wuthnow
Huber, Stefan & Matthias Richard. 2010. 'the Inventory of Emotions Towards God (etg): Psychological Valences and Theological Issues.' Review of Religious Research. 52:1 21-40.	Review of Religious Research	2010	0	An inventory that measures emotions towards God (EtG) proves to be valid. The inventory consists of 16 items that cover emotions that subjects most likely experience in relation to God. The factorial structure of the inventory is described, and the inventory is validated by exploring correlations with a number of conceptually close and remote variables. The results show that the EtG is a short and valid measure with two orthogonal factors (positive and negative emotions) that represent the psychological valence of different emotions towards God. Each factor is comprised of three inter-correlated components that refer to specific emotional qualities that are related to corresponding theological issues. The two main scales have sound psychometric properties and show discriminant and convergent validity and are moderately associated with conceptually related constructs, like dispositional affect and experiential dimensions of religiosity. They do not correlate with distant constructs such as personality dimensions. The EtG is a feasible instrument that can be used to screen basic emotional tendencies towards God. The dimension of negative emotions towards God is of special interest because of its low correlation with general religiosity and potential use in counselling.	2	Stefan Huber; Matthias Richard
Neff, James. 2010. 'Confirmatory Factor Analysis Validation of a Four-factor Measure of Spirituality-religiosity for Use in Diverse Substance Abuse Treatment Populations.' Review of Religious Research. 52:1 41-56.	Review of Religious Research	2010	0	This paper replicates and extends previous analyses supporting the dimensionality of a new measure of spirituality-religiosity designed for largely minority participants in substance abuse treatment. Data are presented from participants in explicitly faith-based substance abuse treatment programs (Teen Challenge), and multi-group confirmatoty factor analysis techniques are applied to assess the invariance of the factor structure, comparing data from the new Teen Challenge validation sample with the correlation matrix from the initial scale development sample. Model,fit in the present analyses reached acceptable levels with the addition of error covariances. Further invariance tests comparing scale development and Teen Challenge validation samples did not suggest systematic variation in loadings between groups. The present comparisons support the originally proposed four-dimensional structure while supporting the use of the measure in both traditional and faith-based programs. Strengths of the present analyses include: use of diverse treatment programs in several states as well as increased precision of the present CFA findings, as program level effects (i.e., intra-class correlations) have been removed through use of residualized data in the analyses.	1	James Alan Neff
Robbins, Mandy & Leslie Francis. 2010. 'Work-related Psychological Health and Psychological Type Among Church of England Clergywomen.' Review of Religious Research. 52:1 57-71.	Review of Religious Research	2010	1	Using the balanced affect model of work-related psychological health proposed and measured by the Francis Burnout Inventory, this paper set out to assess the work-related psychological health of a sample of 874 stipendiary parochial clergywomen working within the Church of England, to examine the association between work-related psychological health and psychological type as assessed by the Francis Psychological Type Scales. The data demonstrate that these clergywomen experience a high level of emotional exhaustion, often offset by a high level of satisfaction in ministry, but that these levels are roughly consistent with those reported by clergymen and clergywomen working in other cultural and denominational contexts. In terms of psychological type theory, the data demonstrate that extraverts and feelers enjoy a better level of work-related psychological health in comparison with introverts and thinkers. This finding is consistent with the view that introverted thinking clergywomen may find themselves operating in ministry for long periods with their less preferred orientation of extraversion and their less preferred judging function of feeling. Suggestions are offered to help introverted and thinking clergy deal more effectively with the stresses of ministry.	2	Mandy Robbins; Leslie Francis
Krause, Neal. 2010. 'Church-based Emotional Support and Self-forgiveness in Late Life.' Review of Religious Research. 52:1 72-89.	Review of Religious Research	2010	0	The intent of this study is to see whether emotional support from fellow church members is associated with self-forgiveness in late life. The data come from a longitudinal nationwide survey of older adults. An effort is made to contribute to the literature by comparing and contrasting the effects of two church-based support measures: the amount of emotional support that is provided by fellow church members and satisfaction with emotional support from co-religionists. The findings suggest that older study participants who are more satisfied with the emotional support they have received from the members of their church are more likely to forgive themselves than older people who are not satisfied with the emotional support they have received in church. In contrast, significant effects failed to emerge with the measure of the amount of received emotional support.	1	Neal Krause
Eastwood, Jonathan & Nikolas Prevalakis. 2010. 'Nationalism, Religion, and Secularization: an Opportune Moment for Research.' Review of Religious Research. 52:1 90-111.	Review of Religious Research	2010	2	In this paper, we consider two related subfields of contemporary social-scientific research: secularization theory and the analysis of the relationship between nationalism and religion. After reviewing major developments and perspectives in these research areas, we argue that there are good grounds for hypothesizing that nationalism plays an important role in fomenting processes of institutional differentiation, and thus is likely a cause of secularization. We close by providing a series of four conjectures and two corollary questions that could serve as the basis of a common research program in this area.	2	Jonathan Eastwood; Nikolas Prevalakis
